########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2019/11/06.04:59:59   1799.0 -139021000.0   63576000.0  -15663000.0  108089000.0  101545000.0      -4000.0 -139021000.0   63577000.0  -15663000.0   15366.93   25050.03       0.04   31.33   48.29  -173.40    -6.76 438180.7
2019/11/07.04:59:59   1800.0 -140443000.0   61277000.0  -15727000.0  106268000.0  103395000.0      -4000.0 -140442000.0   61278000.0  -15727000.0   15403.43   25077.40       0.04   31.26   48.20  -172.52    -7.14 438451.1
2019/11/08.04:59:59   1801.0 -141826000.0   58962000.0  -15787000.0  104415000.0  105213000.0      -4000.0 -141826000.0   58962000.0  -15787000.0   15440.41   25104.48       0.04   31.20   48.11  -171.65    -7.53 438720.9
2019/11/09.04:59:59   1802.0 -143172000.0   56630000.0  -15843000.0  102530000.0  106999000.0      -4000.0 -143172000.0   56630000.0  -15843000.0   15477.85   25131.25       0.04   31.13   48.03  -170.77    -7.91 438990.1
2019/11/10.04:59:59   1803.0 -144479000.0   54283000.0  -15895000.0  100615000.0  108753000.0      -4000.0 -144479000.0   54284000.0  -15895000.0   15515.73   25157.70       0.04   31.06   47.94  -169.90    -8.28 439258.8
2019/11/11.04:59:59   1804.0 -145748000.0   51922000.0  -15942000.0   98669000.0  110474000.0      -4000.0 -145748000.0   51923000.0  -15942000.0   15554.05   25183.81       0.04   31.00   47.84  -169.03    -8.66 439526.9
2019/11/12.04:59:59   1805.0 -146979000.0   49548000.0  -15985000.0   96693000.0  112161000.0      -5000.0 -146979000.0   49548000.0  -15985000.0   15592.79   25209.57       0.04   30.93   47.75  -168.16    -9.03 439794.4
2019/11/13.04:59:59   1806.0 -148171000.0   47160000.0  -16024000.0   94688000.0  113814000.0      -5000.0 -148171000.0   47160000.0  -16024000.0   15631.94   25234.96       0.04   30.86   47.66  -167.29    -9.40 440061.3
2019/11/14.04:59:59   1807.0 -149325000.0   44760000.0  -16058000.0   92654000.0  115432000.0      -5000.0 -149325000.0   44760000.0  -16058000.0   15671.48   25259.95       0.04   30.79   47.57  -166.42    -9.76 440327.6
2019/11/15.04:59:59   1808.0 -150440000.0   42349000.0  -16089000.0   90592000.0  117015000.0      -5000.0 -150440000.0   42349000.0  -16089000.0   15711.40   25284.54       0.04   30.72   47.47  -165.55   -10.13 440593.3
2019/11/16.04:59:59   1809.0 -151517000.0   39926000.0  -16115000.0   88502000.0  118563000.0      -5000.0 -151517000.0   39927000.0  -16115000.0   15751.68   25308.70       0.03   30.65   47.38  -164.68   -10.49 440858.4
2019/11/17.04:59:59   1810.0 -152556000.0   37494000.0  -16138000.0   86385000.0  120075000.0      -5000.0 -152556000.0   37494000.0  -16138000.0   15792.33   25332.41       0.03   30.58   47.28  -163.82   -10.84 441122.9
2019/11/18.04:59:59   1811.0 -153556000.0   35052000.0  -16156000.0   84241000.0  121550000.0      -5000.0 -153556000.0   35053000.0  -16156000.0   15833.31   25355.66       0.03   30.51   47.18  -162.95   -11.19 441386.8
2019/11/19.04:59:59   1812.0 -154518000.0   32602000.0  -16170000.0   82072000.0  122989000.0      -6000.0 -154518000.0   32602000.0  -16170000.0   15874.63   25378.42       0.03   30.43   47.08  -162.08   -11.54 441650.1
2019/11/20.04:59:59   1813.0 -155442000.0   30143000.0  -16181000.0   79877000.0  124390000.0      -6000.0 -155442000.0   30143000.0  -16181000.0   15916.25   25400.68       0.03   30.36   46.98  -161.22   -11.89 441912.7
2019/11/21.04:59:59   1814.0 -156327000.0   27677000.0  -16187000.0   77658000.0  125752000.0      -6000.0 -156327000.0   27677000.0  -16187000.0   15958.19   25422.42       0.03   30.29   46.88  -160.35   -12.23 442174.7
2019/11/22.04:59:59   1815.0 -157174000.0   25205000.0  -16189000.0   75414000.0  127077000.0      -6000.0 -157174000.0   25205000.0  -16189000.0   16000.43   25443.62       0.02   30.22   46.77  -159.49   -12.57 442436.1
2019/11/23.04:59:59   1816.0 -157984000.0   22726000.0  -16188000.0   73147000.0  128362000.0      -6000.0 -157984000.0   22726000.0  -16188000.0   16042.95   25464.26       0.04   30.14   46.66  -158.62   -12.90 442696.8
2019/11/24.04:59:59   1817.0 -158755000.0   20242000.0  -16182000.0   70857000.0  129608000.0      -6000.0 -158755000.0   20241000.0  -16182000.0   16085.74   25484.32       0.09   30.07   46.55  -157.76   -13.23 442956.9
2019/11/25.04:59:59   1818.0 -159489000.0   17754000.0  -16173000.0   68546000.0  130813000.0      -6000.0 -159489000.0   17752000.0  -16173000.0   16128.79   25503.79       0.15   29.99   46.44  -156.89   -13.56 443216.4
2019/11/26.04:59:59   1819.0 -160183000.0   15262000.0  -16160000.0   66213000.0  131979000.0      -6000.0 -160184000.0   15259000.0  -16160000.0   16171.89   25522.40       0.37   29.91   46.33  -156.03   -13.89 443475.0
2019/11/27.04:59:59   1820.0 -160842000.0   12766000.0  -16143000.0   63859000.0  133103000.0      -6000.0 -160843000.0   12762000.0  -16143000.0   16215.36   25540.60       0.46   29.84   46.22  -155.17   -14.20 443733.1
2019/11/28.04:59:59   1821.0 -161462000.0   10267000.0  -16123000.0   61486000.0  134187000.0      -6000.0 -161464000.0   10262000.0  -16122000.0   16259.04   25558.19       0.55   29.77   46.10  -154.30   -14.52 443990.6
2019/11/29.04:59:59   1822.0 -162046000.0    7766000.0  -16098000.0   59094000.0  135228000.0      -6000.0 -162048000.0    7760000.0  -16098000.0   16302.92   25575.14       0.65   29.69   45.99  -153.44   -14.83 444247.5
2019/11/30.04:59:59   1823.0 -162592000.0    5263000.0  -16070000.0   56683000.0  136228000.0      -6000.0 -162595000.0    5256000.0  -16070000.0   16347.00   25591.45       0.74   29.62   45.87  -152.58   -15.14 444503.7
2019/12/01.04:59:59   1824.0 -163102000.0    2759000.0  -16039000.0   54255000.0  137186000.0      -6000.0 -163105000.0    2751000.0  -16038000.0   16391.26   25607.12       0.83   29.55   45.75  -151.72   -15.44 444759.3
2019/12/02.04:59:59   1825.0 -163575000.0     254000.0  -16004000.0   51811000.0  138101000.0      -6000.0 -163578000.0     245000.0  -16003000.0   16435.68   25622.13       0.91   29.47   45.63  -150.85   -15.74 445014.2
2019/12/03.04:59:59   1826.0 -164011000.0   -2251000.0  -15964000.0   49351000.0  138973000.0      -6000.0 -164014000.0   -2260000.0  -15964000.0   16480.24   25636.49       0.98   29.40   45.51  -149.99   -16.04 445268.6
2019/12/04.04:59:59   1827.0 -164412000.0   -4755000.0  -15922000.0   46875000.0  139802000.0      -6000.0 -164415000.0   -4765000.0  -15922000.0   16524.97   25650.16       1.09   29.32   45.39  -149.13   -16.33 445522.2
2019/12/05.04:59:59   1828.0 -164775000.0   -7258000.0  -15876000.0   44386000.0  140588000.0      -6000.0 -164779000.0   -7270000.0  -15876000.0   16569.82   25663.12       1.23   29.24   45.27  -148.27   -16.61 445775.2
2019/12/06.04:59:59   1829.0 -165104000.0   -9759000.0  -15828000.0   41883000.0  141331000.0      -6000.0 -165108000.0   -9773000.0  -15826000.0   16614.79   25675.39       1.38   29.17   45.15  -147.41   -16.89 446027.5
2019/12/07.04:59:59   1830.0 -165396000.0  -12259000.0  -15775000.0   39367000.0  142029000.0      -6000.0 -165400000.0  -12273000.0  -15774000.0   16659.87   25686.97       1.54   29.09   45.02  -146.55   -17.17 446279.2
2019/12/08.04:59:59   1831.0 -165653000.0  -14755000.0  -15720000.0   36839000.0  142684000.0      -6000.0 -165658000.0  -14771000.0  -15718000.0   16705.05   25697.83       1.69   29.02   44.90  -145.69   -17.45 446530.2
2019/12/09.04:59:59   1832.0 -165875000.0  -17249000.0  -15661000.0   34300000.0  143295000.0      -6000.0 -165880000.0  -17266000.0  -15658000.0   16750.33   25707.98       1.85   28.94   44.78  -144.83   -17.71 446780.6
2019/12/10.04:59:59   1833.0 -166061000.0  -19738000.0  -15600000.0   31751000.0  143862000.0      -6000.0 -166067000.0  -19757000.0  -15595000.0   16795.68   25717.40       2.03   28.87   44.66  -143.97   -17.98 447030.4
2019/12/11.04:59:59   1834.0 -166213000.0  -22224000.0  -15534000.0   29192000.0  144384000.0      -6000.0 -166220000.0  -22244000.0  -15529000.0   16841.10   25726.08       2.21   28.79   44.53  -143.11   -18.24 447279.5
2019/12/12.04:59:59   1835.0 -166331000.0  -24705000.0  -15466000.0   26624000.0  144861000.0      -6000.0 -166338000.0  -24727000.0  -15460000.0   16886.58   25733.99       2.41   28.72   44.41  -142.25   -18.50 447527.9
2019/12/13.04:59:59   1836.0 -166414000.0  -27180000.0  -15395000.0   24047000.0  145294000.0      -6000.0 -166421000.0  -27204000.0  -15387000.0   16932.11   25741.13       2.63   28.64   44.28  -141.39   -18.75 447775.7
2019/12/14.04:59:59   1837.0 -166464000.0  -29650000.0  -15320000.0   21464000.0  145683000.0      -6000.0 -166471000.0  -29676000.0  -15312000.0   16977.67   25747.48       2.89   28.56   44.16  -140.53   -18.99 448022.8
2019/12/15.04:59:59   1838.0 -166479000.0  -32113000.0  -15243000.0   18873000.0  146026000.0      -6000.0 -166487000.0  -32142000.0  -15233000.0   17023.26   25753.02       3.17   28.49   44.03  -139.67   -19.23 448269.3
2019/12/16.04:59:59   1839.0 -166461000.0  -34570000.0  -15163000.0   16277000.0  146324000.0      -6000.0 -166470000.0  -34601000.0  -15151000.0   17068.86   25757.76       3.48   28.41   43.90  -138.81   -19.47 448515.1
2019/12/17.04:59:59   1840.0 -166410000.0  -37019000.0  -15078000.0   13675000.0  146577000.0      -7000.0 -166420000.0  -37054000.0  -15067000.0   17114.44   25761.63       3.78   28.34   43.78  -137.95   -19.70 448760.2
2019/12/18.04:59:59   1841.0 -166327000.0  -39461000.0  -14992000.0   11069000.0  146784000.0      -7000.0 -166336000.0  -39499000.0  -14979000.0   17160.04   25764.67       4.14   28.26   43.65  -137.09   -19.93 449004.7
2019/12/19.04:59:59   1842.0 -166210000.0  -41895000.0  -14903000.0    8459000.0  146947000.0      -7000.0 -166220000.0  -41937000.0  -14888000.0   17205.61   25766.86       4.50   28.19   43.52  -136.23   -20.16 449248.6
2019/12/20.04:59:59   1843.0 -166061000.0  -44321000.0  -14811000.0    5846000.0  147063000.0      -7000.0 -166072000.0  -44366000.0  -14795000.0   17251.17   25768.20       4.87   28.12   43.40  -135.37   -20.37 449491.8
2019/12/21.04:59:59   1844.0 -165880000.0  -46739000.0  -14717000.0    3231000.0  147134000.0      -7000.0 -165892000.0  -46787000.0  -14698000.0   17296.70   25768.66       5.24   28.04   43.27  -134.51   -20.59 449734.5
2019/12/22.04:59:59   1845.0 -165668000.0  -49147000.0  -14619000.0     615000.0  147158000.0      -7000.0 -165680000.0  -49198000.0  -14599000.0   17342.20   25768.24       5.60   27.97   43.14  -133.65   -20.80 449976.4
2019/12/23.04:59:59   1846.0 -165424000.0  -51547000.0  -14519000.0   -2000000.0  147137000.0      -7000.0 -165436000.0  -51601000.0  -14497000.0   17387.65   25766.93       5.97   27.90   43.01  -132.79   -21.00 450217.8
2019/12/24.04:59:59   1847.0 -165148000.0  -53936000.0  -14417000.0   -4616000.0  147070000.0      -6000.0 -165162000.0  -53994000.0  -14392000.0   17433.04   25764.73       6.39   27.83   42.87  -131.94   -21.20 450458.6
2019/12/25.04:59:59   1848.0 -164842000.0  -56316000.0  -14311000.0   -7231000.0  146957000.0      -6000.0 -164856000.0  -56376000.0  -14285000.0   17478.36   25761.61       6.77   27.76   42.74  -131.08   -21.40 450698.7
2019/12/26.04:59:59   1849.0 -164505000.0  -58684000.0  -14203000.0   -9843000.0  146798000.0      -6000.0 -164520000.0  -58748000.0  -14175000.0   17523.62   25757.56       7.19   27.68   42.60  -130.22   -21.59 450938.2
2019/12/27.04:59:59   1850.0 -164138000.0  -61042000.0  -14093000.0  -12453000.0  146593000.0      -6000.0 -164154000.0  -61110000.0  -14062000.0   17568.78   25752.58       7.63   27.61   42.47  -129.36   -21.77 451177.0
2019/12/28.04:59:59   1851.0 -163741000.0  -63388000.0  -13980000.0  -15058000.0  146343000.0      -6000.0 -163757000.0  -63460000.0  -13947000.0   17613.86   25746.67       8.09   27.54   42.33  -128.51   -21.95 451415.3
2019/12/29.04:59:59   1852.0 -163314000.0  -65723000.0  -13865000.0  -17659000.0  146046000.0      -6000.0 -163331000.0  -65799000.0  -13829000.0   17658.83   25739.84       8.57   27.47   42.19  -127.65   -22.13 451652.9
2019/12/30.04:59:59   1853.0 -162858000.0  -68046000.0  -13747000.0  -20254000.0  145704000.0      -6000.0 -162876000.0  -68126000.0  -13709000.0   17703.70   25732.08       9.05   27.40   42.06  -126.80   -22.30 451889.9
2019/12/31.04:59:59   1854.0 -162373000.0  -70356000.0  -13626000.0  -22842000.0  145316000.0      -6000.0 -162392000.0  -70440000.0  -13586000.0   17748.47   25723.40       9.53   27.33   41.92  -125.94   -22.46 452126.3
2020/01/01.04:59:59   1855.0 -161859000.0  -72654000.0  -13504000.0  -25424000.0  144884000.0      -6000.0 -161878000.0  -72743000.0  -13461000.0   17793.11   25713.80      10.00   27.26   41.78  -125.09   -22.62 452362.1
2020/01/02.04:59:59   1856.0 -161316000.0  -74940000.0  -13379000.0  -27997000.0  144406000.0      -6000.0 -161337000.0  -75032000.0  -13333000.0   17837.64   25703.26      10.48   27.19   41.64  -124.23   -22.78 452597.3
2020/01/03.04:59:59   1857.0 -160746000.0  -77212000.0  -13251000.0  -30561000.0  143883000.0      -6000.0 -160767000.0  -77308000.0  -13203000.0   17882.03   25691.80      10.96   27.12   41.51  -123.38   -22.93 452832.0
2020/01/04.04:59:59   1858.0 -160147000.0  -79471000.0  -13121000.0  -33115000.0  143315000.0      -6000.0 -160169000.0  -79571000.0  -13071000.0   17926.29   25679.41      11.43   27.06   41.37  -122.53   -23.08 453066.0
2020/01/05.04:59:59   1859.0 -159521000.0  -81716000.0  -12989000.0  -35659000.0  142703000.0      -6000.0 -159544000.0  -81821000.0  -12937000.0   17970.40   25666.08      11.91   26.99   41.23  -121.68   -23.22 453299.5
2020/01/06.04:59:59   1860.0 -158868000.0  -83948000.0  -12855000.0  -38192000.0  142046000.0      -6000.0 -158892000.0  -84056000.0  -12800000.0   18014.37   25651.82      12.38   26.92   41.09  -120.83   -23.35 453532.4
2020/01/07.04:59:59   1861.0 -158188000.0  -86165000.0  -12719000.0  -40712000.0  141346000.0      -6000.0 -158213000.0  -86277000.0  -12662000.0   18058.18   25636.62      12.85   26.86   40.96  -119.97   -23.48 453764.7
2020/01/08.04:59:59   1862.0 -157481000.0  -88368000.0  -12580000.0  -43220000.0  140601000.0      -6000.0 -157507000.0  -88484000.0  -12521000.0   18101.82   25620.48      13.32   26.79   40.82  -119.13   -23.61 453996.4
2020/01/09.04:59:59   1863.0 -156748000.0  -90556000.0  -12439000.0  -45714000.0  139813000.0      -6000.0 -156775000.0  -90676000.0  -12378000.0   18145.30   25603.39      13.79   26.72   40.68  -118.28   -23.73 454227.6
2020/01/10.04:59:59   1864.0 -155989000.0  -92728000.0  -12297000.0  -48194000.0  138982000.0      -6000.0 -156017000.0  -92853000.0  -12233000.0   18188.60   25585.35      14.27   26.66   40.54  -117.43   -23.85 454458.2
2020/01/11.04:59:59   1865.0 -155204000.0  -94886000.0  -12152000.0  -50659000.0  138108000.0      -6000.0 -155233000.0  -95015000.0  -12086000.0   18231.72   25566.36      14.74   26.59   40.41  -116.58   -23.96 454688.3
2020/01/12.04:59:59   1866.0 -154394000.0  -97028000.0  -12005000.0  -53109000.0  137191000.0      -6000.0 -154424000.0  -97161000.0  -11937000.0   18274.65   25546.40      15.22   26.53   40.27  -115.74   -24.07 454917.8
2020/01/13.04:59:59   1867.0 -153559000.0  -99154000.0  -11857000.0  -55542000.0  136232000.0      -6000.0 -153590000.0  -99291000.0  -11786000.0   18317.40   25525.47      15.69   26.46   40.14  -114.89   -24.17 455146.7
2020/01/14.04:59:59   1868.0 -152699000.0 -101265000.0  -11706000.0  -57958000.0  135230000.0      -6000.0 -152731000.0 -101405000.0  -11633000.0   18359.94   25503.57      16.17   26.40   40.00  -114.05   -24.26 455375.1
2020/01/15.04:59:59   1869.0 -151814000.0 -103359000.0  -11554000.0  -60356000.0  134187000.0      -6000.0 -151848000.0 -103504000.0  -11479000.0   18402.28   25480.66      16.66   26.33   39.86  -113.20   -24.36 455602.9
2020/01/16.04:59:59   1870.0 -150906000.0 -105436000.0  -11400000.0  -62736000.0  133102000.0      -6000.0 -150941000.0 -105585000.0  -11322000.0   18444.41   25456.74      17.17   26.27   39.72  -112.36   -24.44 455830.1
2020/01/17.04:59:59   1871.0 -149974000.0 -107496000.0  -11244000.0  -65096000.0  131975000.0      -6000.0 -150010000.0 -107650000.0  -11164000.0   18486.31   25431.79      17.71   26.20   39.58  -111.52   -24.53 456056.8
2020/01/18.04:59:59   1872.0 -149018000.0 -109540000.0  -11086000.0  -67437000.0  130807000.0      -6000.0 -149055000.0 -109699000.0  -11004000.0   18527.99   25405.81      18.28   26.14   39.44  -110.68   -24.60 456282.9
2020/01/19.04:59:59   1873.0 -148040000.0 -111566000.0  -10927000.0  -69756000.0  129599000.0      -6000.0 -148078000.0 -111730000.0  -10842000.0   18569.44   25378.80      18.87   26.07   39.30  -109.84   -24.68 456508.5
2020/01/20.04:59:59   1874.0 -147038000.0 -113574000.0  -10766000.0  -72055000.0  128350000.0      -5000.0 -147077000.0 -113744000.0  -10679000.0   18610.65   25350.74      19.48   26.01   39.16  -109.01   -24.74 456733.5
2020/01/21.04:59:59   1875.0 -146014000.0 -115565000.0  -10604000.0  -74331000.0  127060000.0      -5000.0 -146054000.0 -115740000.0  -10514000.0   18651.62   25321.66      20.09   25.95   39.02  -108.17   -24.81 456958.0
2020/01/22.04:59:59   1876.0 -144968000.0 -117539000.0  -10440000.0  -76583000.0  125732000.0      -5000.0 -145008000.0 -117719000.0  -10347000.0   18692.34   25291.54      20.73   25.89   38.88  -107.34   -24.86 457181.9
2020/01/23.04:59:59   1877.0 -143900000.0 -119494000.0  -10275000.0  -78813000.0  124363000.0      -5000.0 -143941000.0 -119680000.0  -10179000.0   18732.82   25260.37      21.38   25.83   38.74  -106.51   -24.92 457405.3
2020/01/24.04:59:59   1878.0 -142810000.0 -121431000.0  -10108000.0  -81017000.0  122956000.0      -5000.0 -142852000.0 -121624000.0  -10009000.0   18773.03   25228.16      22.07   25.76   38.60  -105.68   -24.97 457628.2
2020/01/25.04:59:59   1879.0 -141700000.0 -123349000.0   -9940000.0  -83197000.0  121511000.0      -5000.0 -141742000.0 -123548000.0   -9838000.0   18812.99   25194.91      22.77   25.70   38.45  -104.85   -25.01 457850.5
2020/01/26.04:59:59   1880.0 -140568000.0 -125249000.0   -9770000.0  -85350000.0  120028000.0      -4000.0 -140610000.0 -125455000.0   -9665000.0   18852.67   25160.61      23.50   25.64   38.31  -104.02   -25.05 458072.3
2020/01/27.04:59:59   1881.0 -139415000.0 -127130000.0   -9599000.0  -87477000.0  118507000.0      -4000.0 -139458000.0 -127343000.0   -9491000.0   18892.08   25125.27      24.26   25.58   38.16  -103.19   -25.08 458293.6
2020/01/28.04:59:59   1882.0 -138242000.0 -128993000.0   -9427000.0  -89576000.0  116950000.0      -4000.0 -138286000.0 -129213000.0   -9315000.0   18931.22   25088.91      25.02   25.52   38.02  -102.37   -25.11 458514.4
2020/01/29.04:59:59   1883.0 -137049000.0 -130836000.0   -9253000.0  -91648000.0  115356000.0      -4000.0 -137093000.0 -131063000.0   -9139000.0   18970.07   25051.53      25.80   25.47   37.88  -101.55   -25.14 458734.7
2020/01/30.04:59:59   1884.0 -135836000.0 -132660000.0   -9078000.0  -93691000.0  113727000.0      -4000.0 -135881000.0 -132895000.0   -8960000.0   19008.64   25013.12      26.60   25.41   37.73  -100.73   -25.16 458954.4
2020/01/31.04:59:59   1885.0 -134604000.0 -134465000.0   -8902000.0  -95704000.0  112062000.0      -4000.0 -134649000.0 -134707000.0   -8781000.0   19046.92   24973.68      27.43   25.35   37.59   -99.91   -25.17 459173.7
2020/02/01.04:59:59   1886.0 -133352000.0 -136251000.0   -8724000.0  -97688000.0  110363000.0      -4000.0 -133397000.0 -136501000.0   -8600000.0   19084.90   24933.22      28.29   25.29   37.45   -99.09   -25.18 459392.4
2020/02/02.04:59:59   1887.0 -132081000.0 -138016000.0   -8546000.0  -99642000.0  108629000.0      -4000.0 -132127000.0 -138274000.0   -8418000.0   19122.59   24891.76      29.15   25.24   37.30   -98.28   -25.19 459610.7
2020/02/03.04:59:59   1888.0 -130792000.0 -139763000.0   -8366000.0 -101564000.0  106863000.0      -4000.0 -130838000.0 -140029000.0   -8235000.0   19159.97   24849.30      30.02   25.18   37.16   -97.47   -25.19 459828.5
2020/02/04.04:59:59   1889.0 -129484000.0 -141489000.0   -8185000.0 -103455000.0  105063000.0      -4000.0 -129531000.0 -141764000.0   -8051000.0   19197.06   24805.86      30.89   25.13   37.02   -96.66   -25.19 460045.9
2020/02/05.04:59:59   1890.0 -128159000.0 -143196000.0   -8003000.0 -105314000.0  103231000.0      -4000.0 -128205000.0 -143479000.0   -7865000.0   19233.85   24761.43      31.77   25.08   36.88   -95.85   -25.18 460262.7
2020/02/06.04:59:59   1891.0 -126815000.0 -144883000.0   -7820000.0 -107140000.0  101368000.0      -4000.0 -126862000.0 -145174000.0   -7679000.0   19270.32   24716.01      32.66   25.02   36.74   -95.05   -25.17 460479.2
2020/02/07.04:59:59   1892.0 -125454000.0 -146550000.0   -7636000.0 -108933000.0   99473000.0      -4000.0 -125502000.0 -146849000.0   -7491000.0   19306.49   24669.61      33.54   24.97   36.60   -94.24   -25.16 460695.1
2020/02/08.04:59:59   1893.0 -124076000.0 -148196000.0   -7450000.0 -110693000.0   97548000.0      -4000.0 -124124000.0 -148503000.0   -7303000.0   19342.34   24622.23      34.44   24.92   36.46   -93.44   -25.14 460910.7
2020/02/09.04:59:59   1894.0 -122680000.0 -149822000.0   -7264000.0 -112419000.0   95594000.0      -4000.0 -122729000.0 -150138000.0   -7113000.0   19377.88   24573.87      35.33   24.87   36.32   -92.64   -25.11 461125.8
2020/02/10.04:59:59   1895.0 -121268000.0 -151428000.0   -7077000.0 -114110000.0   93610000.0      -4000.0 -121318000.0 -151752000.0   -6922000.0   19413.10   24524.53      36.23   24.82   36.18   -91.85   -25.08 461340.4
2020/02/11.04:59:59   1896.0 -119840000.0 -153014000.0   -6888000.0 -115766000.0   91597000.0      -4000.0 -119890000.0 -153346000.0   -6731000.0   19447.99   24474.21      37.13   24.77   36.04   -91.05   -25.05 461554.7
2020/02/12.04:59:59   1897.0 -118395000.0 -154578000.0   -6699000.0 -117387000.0   89556000.0      -4000.0 -118446000.0 -154919000.0   -6539000.0   19482.56   24422.90      38.04   24.72   35.91   -90.26   -25.01 461768.5
2020/02/13.04:59:59   1898.0 -116934000.0 -156122000.0   -6509000.0 -118973000.0   87487000.0      -4000.0 -116986000.0 -156472000.0   -6345000.0   19516.80   24370.61      38.95   24.67   35.77   -89.47   -24.97 461981.8
2020/02/14.04:59:59   1899.0 -115458000.0 -157646000.0   -6318000.0 -120521000.0   85392000.0      -3000.0 -115511000.0 -158004000.0   -6151000.0   19550.70   24317.31      39.87   24.63   35.63   -88.68   -24.92 462194.8
2020/02/15.04:59:59   1900.0 -113967000.0 -159148000.0   -6126000.0 -122033000.0   83270000.0      -3000.0 -114021000.0 -159515000.0   -5956000.0   19584.27   24263.03      40.79   24.58   35.49   -87.90   -24.87 462407.4
2020/02/16.04:59:59   1901.0 -112461000.0 -160629000.0   -5934000.0 -123508000.0   81122000.0      -3000.0 -112515000.0 -161005000.0   -5761000.0   19617.51   24207.74      41.72   24.53   35.36   -87.12   -24.82 462619.5
2020/02/17.04:59:59   1902.0 -110939000.0 -162090000.0   -5740000.0 -124945000.0   78949000.0      -3000.0 -110995000.0 -162474000.0   -5564000.0   19650.40   24151.47      42.65   24.49   35.22   -86.34   -24.76 462831.3
2020/02/18.04:59:59   1903.0 -109404000.0 -163529000.0   -5546000.0 -126343000.0   76752000.0      -3000.0 -109461000.0 -163922000.0   -5367000.0   19682.96   24094.19      43.58   24.44   35.08   -85.56   -24.70 463042.6
2020/02/19.04:59:59   1904.0 -107854000.0 -164947000.0   -5351000.0 -127703000.0   74531000.0      -3000.0 -107912000.0 -165349000.0   -5169000.0   19715.16   24035.93      44.53   24.39   34.94   -84.79   -24.63 463253.6
2020/02/20.04:59:59   1905.0 -106290000.0 -166343000.0   -5156000.0 -129024000.0   72287000.0      -2000.0 -106350000.0 -166754000.0   -4970000.0   19747.01   23976.66      45.50   24.35   34.80   -84.02   -24.56 463464.1
2020/02/21.04:59:59   1906.0 -104713000.0 -167718000.0   -4960000.0 -130305000.0   70020000.0      -2000.0 -104774000.0 -168138000.0   -4771000.0   19778.51   23916.41      46.47   24.30   34.66   -83.25   -24.48 463674.3
2020/02/22.04:59:59   1907.0 -103122000.0 -169071000.0   -4763000.0 -131546000.0   67732000.0      -2000.0 -103184000.0 -169501000.0   -4571000.0   19809.66   23855.19      47.45   24.26   34.52   -82.48   -24.40 463884.1
2020/02/23.04:59:59   1908.0 -101518000.0 -170403000.0   -4566000.0 -132747000.0   65423000.0      -2000.0 -101582000.0 -170842000.0   -4371000.0   19840.46   23793.00      48.43   24.22   34.38   -81.72   -24.32 464093.5
2020/02/24.04:59:59   1909.0  -99901000.0 -171714000.0   -4368000.0 -133907000.0   63094000.0      -2000.0  -99966000.0 -172162000.0   -4170000.0   19870.89   23729.85      49.43   24.17   34.24   -80.96   -24.24 464302.6
2020/02/25.04:59:59   1910.0  -98272000.0 -173002000.0   -4169000.0 -135025000.0   60746000.0      -2000.0  -98339000.0 -173460000.0   -3969000.0   19900.97   23665.74      50.42   24.13   34.10   -80.20   -24.14 464511.2
2020/02/26.04:59:59   1911.0  -96630000.0 -174269000.0   -3970000.0 -136103000.0   58379000.0      -1000.0  -96698000.0 -174737000.0   -3767000.0   19930.69   23600.70      51.43   24.09   33.96   -79.45   -24.05 464719.6
2020/02/27.04:59:59   1912.0  -94977000.0 -175514000.0   -3771000.0 -137138000.0   55994000.0      -1000.0  -95046000.0 -175992000.0   -3564000.0   19960.04   23534.72      52.44   24.05   33.82   -78.70   -23.95 464927.5
